Fecha	Años	Estacion	PT
1950	0	A	384
1951	1	A	588
1952	2	A	722
1953	3	A	509
1954	4	A	473
1955	5	A	539
1956	6	A	632
1957	7	A	835
1958	8	A	629
1959	9	A	592
1960	10	A	763
1961	11	A	629
1962	12	A	465
1963	13	A	597
1964	14	A	382
1965	15	A	444
1966	16	A	605
1967	17	A	326
1968	18	A	502
1969	19	A	543
1970	20	A	438
1971	21	A	472
1972	22	A	498
1973	23	A	561
1974	24	A	752
1975	25	A	508
1976	26	A	587
1977	27	A	426
1978	28	A	940
1979	29	A	411,5
1980	30	A	390,5
1981	31	A	545
1982	32	A	762,5
1988	38	A	145
1989	39	A	414
1993	43	A	631
1994	44	A	415
1995	45	A	510
1996	46	A	779
1950	0	B	443
1951	1	B	620
1952	2	B	641
1953	3	B	478,5
1954	4	B	538
1955	5	B	623
1956	6	B	796
1957	7	B	684
1958	8	B	789
1959	9	B	825
1960	10	B	704
1961	11	B	768
1962	12	B	535
1963	13	B	813
1964	14	B	660
1965	15	B	534
1966	16	B	782
1967	17	B	479
1968	18	B	774
1969	19	B	524
1970	20	B	585
1971	21	B	565
1972	22	B	638
1973	23	B	778,6
1974	24	B	751
1975	25	B	570
1976	26	B	505
1977	27	B	766
1978	28	B	779,4
1979	29	B	690
1980	30	B	978,9
1981	31	B	792,3
1982	32	B	769,8
1983	33	B	874,9
1984	34	B	846,2
1985	35	B	625,5
1986	36	B	663,7
1987	37	B	1016,5
1988	38	B	635,8
1989	39	B	686,9
1990	40	B	812,3
1991	41	B	712,5
1992	42	B	962,5
1993	43	B	963
1994	44	B	732,5
