Especie	Increm.	vecinos
flexuosa	14,53	3
flexuosa	25,03	1
flexuosa	14,88	3
flexuosa	5,96	5
flexuosa	20,38	2
flexuosa	14,76	3
flexuosa	23,72	1
flexuosa	14,66	3
chilensis	14,11	3
chilensis	3,51	5
chilensis	19,52	2
chilensis	4,92	5
chilensis	14,97	3
chilensis	20,88	2
chilensis	6,01	5
chilensis	10,32	4
chilensis	10,72	4
chilensis	14,86	3
chilensis	19,36	2
chilensis	14,85	3
chilensis	10,24	4
chilensis	4,68	5
chilensis	19,29	2
chilensis	18,69	2
chilensis	3,57	5
chilensis	10,22	4
chilensis	18,86	2
nigra	32,65	0
nigra	17,08	3
nigra	11,43	4
nigra	16,57	3
nigra	12,98	4
nigra	24,07	2
nigra	26,91	1
nigra	16,74	3
nigra	11,97	4
nigra	7,71	5
nigra	23,72	2
nigra	7,88	5
